54552	17769	157145	1.77E+36
64992	16826	164693	1.66E+36
72975	16169	164477	1.48E+36
81217	15551	163839	1.34E+36
95148	14642	162769	1.21E+36
106032	14040	160215	1.01E+36
126569	13120	157768	8.70E+35
144472	12495	152601	6.65E+35
161061	12027	147876	5.32E+35
207031	11100	143530	4.37E+35
236073	10695	132346	2.69E+35
328288	9884	126137	2.06E+35
535152	9073	110468	1.04E+35
1448100	8191	89405	3.75E+34
5240890	7723	58519	6.48E+33
21729800	7531	38323	9.28E+32
103392000	7355	30072	3.48E+32
