37003	15205	207007	3.37E+36
40218	14650	206834	3.01E+36
43499	14136	206142	2.76E+36
47450	13583	205053	2.52E+36
51857	13043	203332	2.25E+36
55925	12607	201022	1.98E+36
62451	12014	198634	1.76E+36
68636	11549	194497	1.47E+36
77989	10981	190410	1.25E+36
89512	10444	184200	9.89E+35
107593	9837	176796	7.59E+35
141207	9131	166127	5.25E+35
229105	8280	149684	2.98E+35
553821	7456	121726	1.07E+35
1802550	6960	82908	1.87E+34
7667450	6738	52437	2.64E+33
36570700	6617	38077	6.83E+32
170857000	6473	30683	2.80E+32
